,Municipality,Births,Farc Violence,Total Violence,Ratio,post15,FARC,post13,Month,Year
0,76130,4808,0,1,0.0,0,0,0,10,2012
0,76147,4801,0,1,0.0,0,0,0,1,2012
0,76147,4280,0,1,0.0,0,0,0,2,2012
0,76147,4750,0,1,0.0,0,0,0,3,2012
0,76147,4531,0,1,0.0,0,0,0,4,2012
0,76147,4750,0,1,0.0,0,0,0,5,2012
0,76147,4727,0,1,0.0,0,0,0,6,2012
0,76147,4911,0,1,0.0,0,0,0,7,2012
0,76147,4808,0,2,0.0,0,0,0,10,2012
0,76147,4642,0,2,0.0,0,0,1,11,2012
0,76147,4708,0,2,0.0,0,0,0,12,2012
0,76233,4280,1,2,0.5,0,0,0,2,2012
0,76233,4750,1,1,1.0,0,0,0,3,2012
0,76233,4911,0,1,0.0,0,0,0,7,2012
0,76233,5065,4,5,0.8,0,0,0,8,2012
0,76233,5226,0,1,0.0,0,0,0,9,2012
0,76233,4808,0,2,0.0,0,0,0,10,2012
0,76233,4642,0,1,0.0,0,0,1,11,2012
0,76233,4708,1,2,0.5,0,0,0,12,2012
0,76243,4808,0,1,0.0,0,0,0,10,2012
0,76250,4727,0,1,0.0,0,0,0,6,2012
0,76250,5065,0,1,0.0,0,0,0,8,2012
0,76250,4642,0,2,0.0,0,0,1,11,2012
0,76250,4708,0,1,0.0,0,0,0,12,2012
0,76275,4280,1,2,0.5,0,0,0,2,2012
0,76275,4750,0,1,0.0,0,0,0,3,2012
0,76275,4531,6,10,0.6,0,0,0,4,2012
0,76275,4750,11,13,0.8461538461538461,0,0,0,5,2012
0,76275,4727,4,4,1.0,0,0,0,6,2012
0,76275,4911,2,5,0.4,0,0,0,7,2012
0,76275,5065,4,4,1.0,0,0,0,8,2012
0,76275,5226,3,3,1.0,0,0,0,9,2012
0,76275,4808,7,7,1.0,0,0,0,10,2012
0,76275,4642,4,7,0.5714285714285714,0,0,1,11,2012
0,76318,4750,0,1,0.0,0,0,0,5,2012
0,76318,4808,2,2,1.0,0,0,0,10,2012
0,76364,4280,3,3,1.0,0,0,0,2,2012
0,76364,4531,1,1,1.0,0,0,0,4,2012
0,76364,4750,2,2,1.0,0,0,0,5,2012
0,76364,5065,4,5,0.8,0,0,0,8,2012
0,76364,4808,0,1,0.0,0,0,0,10,2012
0,76364,4642,1,1,1.0,0,0,1,11,2012
0,76364,4708,5,8,0.625,0,0,0,12,2012
0,76400,4911,0,3,0.0,0,0,0,7,2012
0,76400,5226,0,1,0.0,0,0,0,9,2012
0,76403,4750,0,2,0.0,0,0,0,5,2012
0,76403,4727,0,1,0.0,0,0,0,6,2012
0,76403,4911,0,2,0.0,0,0,0,7,2012
0,76403,4708,0,1,0.0,0,0,0,12,2012
0,76497,4280,0,1,0.0,0,0,0,2,2012
0,76497,4750,1,2,0.5,0,0,0,5,2012
0,76520,4801,0,1,0.0,0,0,0,1,2012
0,76520,4280,0,1,0.0,0,0,0,2,2012
0,76520,4727,0,1,0.0,0,0,0,6,2012
0,76520,4911,0,1,0.0,0,0,0,7,2012
0,76520,4808,0,1,0.0,0,0,0,10,2012
0,76520,4642,0,1,0.0,0,0,1,11,2012
0,76563,4801,2,4,0.5,0,0,0,1,2012
0,76563,4280,1,1,1.0,0,0,0,2,2012
0,76563,4750,1,1,1.0,0,0,0,5,2012
0,76563,5065,1,1,1.0,0,0,0,8,2012
0,76563,5226,1,1,1.0,0,0,0,9,2012
0,76563,4808,5,8,0.625,0,0,0,10,2012
0,76563,4642,1,2,0.5,0,0,1,11,2012
0,76563,4708,3,4,0.75,0,0,0,12,2012
0,76616,4531,0,1,0.0,0,0,0,4,2012
0,76616,5065,0,1,0.0,0,0,0,8,2012
0,76616,5226,0,1,0.0,0,0,0,9,2012
0,76616,4808,0,2,0.0,0,0,0,10,2012
0,76616,4642,1,1,1.0,0,0,1,11,2012
0,76622,4280,0,1,0.0,0,0,0,2,2012
0,76622,4727,0,1,0.0,0,0,0,6,2012
0,76622,5065,0,1,0.0,0,0,0,8,2012
0,76622,4808,0,1,0.0,0,0,0,10,2012
0,76670,5065,2,2,1.0,0,0,0,8,2012
0,76670,5226,2,2,1.0,0,0,0,9,2012
0,76670,4808,1,2,0.5,0,0,0,10,2012
0,76670,4642,1,1,1.0,0,0,1,11,2012
0,76736,5226,0,1,0.0,0,0,0,9,2012
0,76736,4808,2,2,1.0,0,0,0,10,2012
0,76828,4750,0,1,0.0,0,0,0,3,2012
0,76828,4727,0,1,0.0,0,0,0,6,2012
0,76828,5065,0,1,0.0,0,0,0,8,2012
0,76828,4708,0,1,0.0,0,0,0,12,2012
0,76834,4801,4,5,0.8,0,0,0,1,2012
0,76834,4280,4,4,1.0,0,0,0,2,2012
0,76834,4750,1,2,0.5,0,0,0,3,2012
0,76834,4531,1,2,0.5,0,0,0,4,2012
0,76834,4750,1,3,0.3333333333333333,0,0,0,5,2012
0,76834,4911,0,1,0.0,0,0,0,7,2012
0,76834,5065,5,7,0.7142857142857143,0,0,0,8,2012
0,76834,5226,3,11,0.2727272727272727,0,0,0,9,2012
0,76834,4808,0,4,0.0,0,0,0,10,2012
0,76834,4642,0,2,0.0,0,0,1,11,2012
0,76834,4708,0,4,0.0,0,0,0,12,2012
0,76890,4727,0,1,0.0,0,0,0,6,2012
0,76895,5226,0,1,0.0,0,0,0,9,2012
0,81001,410,1,1,1.0,0,0,0,1,2012
0,81001,354,0,1,0.0,0,0,0,2,2012
0,81001,362,1,1,1.0,0,0,0,3,2012
0,81001,361,0,1,0.0,0,0,0,5,2012
0,81001,367,0,1,0.0,0,0,0,6,2012
0,81001,366,1,3,0.3333333333333333,0,0,0,7,2012
0,81001,363,0,3,0.0,0,0,0,8,2012
0,81001,366,0,1,0.0,0,0,0,9,2012
0,81001,362,0,3,0.0,0,0,1,11,2012
0,81001,432,0,1,0.0,0,0,0,12,2012
0,81065,410,0,3,0.0,0,0,0,1,2012
0,81065,354,3,7,0.42857142857142855,0,0,0,2,2012
0,81065,362,8,10,0.8,0,0,0,3,2012
0,81065,349,4,5,0.8,0,0,0,4,2012
0,81065,361,1,3,0.3333333333333333,0,0,0,5,2012
0,81065,367,3,11,0.2727272727272727,0,0,0,6,2012
0,81065,366,2,15,0.13333333333333333,0,0,0,7,2012
0,81065,363,10,15,0.6666666666666666,0,0,0,8,2012
0,81065,366,16,18,0.8888888888888888,0,0,0,9,2012
0,81065,391,11,14,0.7857142857142857,0,0,0,10,2012
0,81065,362,4,6,0.6666666666666666,0,0,1,11,2012
0,81065,432,2,2,1.0,0,0,0,12,2012
0,81220,367,1,1,1.0,0,0,0,6,2012
0,81300,354,1,1,1.0,0,0,0,2,2012
0,81300,362,1,3,0.3333333333333333,0,0,0,3,2012
0,81300,349,1,2,0.5,0,0,0,4,2012
