,Municipality,Year,Month,Births,Farc Violence,Total Violence,Ratio,post15,post13,FARC
294,20001,2008,9,1096,0,4,0.0,0,0,0
295,20011,2008,4,227,0,4,0.0,0,0,0
296,20011,2008,8,244,0,3,0.0,0,0,0
297,20011,2008,12,226,0,3,0.0,0,0,0
298,20011,2008,1,268,0,5,0.0,0,0,0
299,20011,2008,2,222,0,4,0.0,0,0,0
300,20011,2008,7,266,0,9,0.0,0,0,0
301,20011,2008,6,238,0,3,0.0,0,0,0
302,20011,2008,3,213,0,7,0.0,0,0,0
303,20011,2008,5,275,0,2,0.0,0,0,0
304,20011,2008,11,216,0,6,0.0,0,0,0
305,20011,2008,10,273,0,8,0.0,0,0,0
306,20011,2008,9,255,0,3,0.0,0,0,0
307,20013,2008,12,102,0,2,0.0,0,0,0
308,20013,2008,1,80,1,3,0.3333333333333333,0,0,0
309,20013,2008,7,73,0,1,0.0,0,0,0
310,20013,2008,6,75,0,1,0.0,0,0,0
311,20013,2008,3,76,0,1,0.0,0,0,0
312,20013,2008,5,68,0,1,0.0,0,0,0
313,20032,2008,2,25,0,1,0.0,0,0,0
314,20045,2008,6,15,0,1,0.0,0,0,0
315,20060,2008,3,19,0,1,0.0,0,0,0
316,20175,2008,11,19,0,1,0.0,0,0,0
317,20175,2008,9,26,0,1,0.0,0,0,0
318,20178,2008,2,96,0,1,0.0,0,0,0
319,20228,2008,8,24,0,1,0.0,0,0,0
320,20228,2008,12,27,0,1,0.0,0,0,0
321,20228,2008,2,25,0,1,0.0,0,0,0
322,20228,2008,7,22,0,1,0.0,0,0,0
323,20228,2008,9,24,0,1,0.0,0,0,0
324,20238,2008,2,12,0,1,0.0,0,0,0
325,20238,2008,6,28,0,1,0.0,0,0,0
326,20295,2008,4,9,0,1,0.0,0,0,0
327,20295,2008,8,9,0,1,0.0,0,0,0
328,20295,2008,1,9,0,1,0.0,0,0,0
329,20295,2008,2,6,0,1,0.0,0,0,0
330,20383,2008,12,1,0,1,0.0,0,0,0
331,20383,2008,2,10,0,1,0.0,0,0,0
332,20400,2008,1,19,0,1,0.0,0,0,0
