,Municipality,Year,Month,Births,FARC Involvement,Total Violence,FARC Violence,Ratio
339,50330,2008,10,10,0,2,0,0.0
340,50330,2008,10,10,1,2,2,1.0
341,50330,2008,9,4,0,3,0,0.0
342,50330,2008,9,4,1,1,1,1.0
343,5034,2008,5,46,1,1,1,1.0
344,50350,2008,8,9,0,2,0,0.0
345,50350,2008,8,9,1,1,1,1.0
346,50350,2008,12,9,0,3,0,0.0
347,50350,2008,12,9,1,1,1,1.0
348,50350,2008,1,6,0,1,0,0.0
349,50350,2008,1,6,1,2,2,1.0
350,50350,2008,3,6,0,4,0,0.0
351,50350,2008,3,6,1,2,2,1.0
352,50350,2008,10,8,0,1,0,0.0
353,50350,2008,10,8,1,2,2,1.0
354,50350,2008,9,7,0,1,0,0.0
355,50350,2008,9,7,1,1,1,1.0
356,50370,2008,4,6,0,1,0,0.0
357,50370,2008,4,6,1,1,1,1.0
358,50370,2008,1,3,0,4,0,0.0
359,50370,2008,1,3,1,2,2,1.0
360,50370,2008,2,7,0,5,0,0.0
361,50370,2008,2,7,1,4,4,1.0
362,50370,2008,7,7,0,5,0,0.0
363,50370,2008,7,7,1,2,2,1.0
364,50370,2008,3,3,0,10,0,0.0
365,50370,2008,3,3,1,1,1,1.0
366,50370,2008,10,5,0,4,0,0.0
367,50370,2008,10,5,1,1,1,1.0
368,50370,2008,9,4,0,2,0,0.0
369,50370,2008,9,4,1,2,2,1.0
370,5038,2008,8,8,0,1,0,0.0
371,5038,2008,8,8,1,1,1,1.0
372,5040,2008,12,14,1,3,3,1.0
373,5040,2008,2,14,0,3,0,0.0
374,5040,2008,2,14,1,1,1,1.0
375,50400,2008,5,8,1,1,1,1.0
376,5045,2008,8,447,0,4,0,0.0
377,5045,2008,8,447,1,1,1,1.0
378,5045,2008,11,450,0,1,0,0.0
379,5045,2008,11,450,1,1,1,1.0
380,50450,2008,1,3,0,2,0,0.0
381,50450,2008,1,3,1,1,1,1.0
382,50450,2008,3,5,1,1,1,1.0
383,5055,2008,4,11,1,2,2,1.0
384,5055,2008,1,11,0,1,0,0.0
385,5055,2008,1,11,1,4,4,1.0
386,5055,2008,9,11,1,1,1,1.0
387,50573,2008,8,26,1,1,1,1.0
388,50577,2008,6,6,1,1,1,1.0
389,50590,2008,1,3,1,1,1,1.0
